file,test,outcome,message,time
tests.quick_test,test_level1_basic_context_creation,error,"failed on setup with ""file C:\work\AARD\backend\tests\integration\test_phase3_full_integration.py, line 103
  @pytest.mark.asyncio
  async def test_level1_basic_context_creation(db_session):
      """"""Уровень 1: Базовое создание ExecutionContext""""""
      print(""\n=== УРОВЕНЬ 1: Базовое создание ExecutionContext ==="")

      # Создание контекста из сессии
      context = ExecutionContext.from_db_session(db_session)

      assert context is not None
      assert context.db == db_session
      assert context.workflow_id is not None
      assert len(context.workflow_id) > 0
      # trace_id может быть None, если нет активного OpenTelemetry span (нормально для тестов)
      # assert context.trace_id is not None

      print(f""✅ ExecutionContext создан: workflow_id={context.workflow_id[:8]}..."")
E       fixture 'db_session' not found
>       available fixtures: anyio_backend, anyio_backend_name, anyio_backend_options, cache, capfd, capfdbinary, caplog, capsys, capsysbinary, client, db, doctest_namespace, ensure_service_registry_initialized, event_loop, execution_context, monkeypatch, plan_id, pytestconfig, record_property, record_testsuite_property, record_xml_attribute, recwarn, tmp_path, tmp_path_factory, tmpdir, tmpdir_factory, unused_tcp_port, unused_tcp_port_factory, unused_udp_port, unused_udp_port_factory, workflow_engine
>       use 'pytest --fixtures [testpath]' for help on them.

C:\work\AARD\backend\tests\integration\test_phase3_full_integration.py:103""",0.003
tests.quick_test.TestWorkflowEngineIntegration,test_workflow_engine_initialization_in_orchestrator,failure,AttributeError: 'ExecutionContextStub' object has no attribute 'user_id',0.003
tests.quick_test.TestWorkflowEngineIntegration,test_workflow_state_transitions_in_code_generation,error,"failed on setup with ""file C:\work\AARD\backend\tests\integration\test_phase4_integration.py, line 139
      @pytest.mark.asyncio
      async def test_workflow_state_transitions_in_code_generation(
          self, execution_context, real_model_and_server, test_agent
      ):
          """"""Тест переходов состояний workflow при генерации кода""""""
          model, server = real_model_and_server

          # Сохраняем модель и server в контекст
          execution_context.metadata = {
              ""model"": model.model_name,
              ""server_id"": str(server.id),
              ""server_url"": server.get_api_url()
          }

          orchestrator = RequestOrchestrator()

          # Простой запрос на генерацию кода
          message = ""Create a function that adds two numbers""

          try:
              result = await orchestrator.process_request(
                  message=message,
                  context=execution_context,
                  task_type=""code_generation"",
                  model=model.model_name,
                  server_id=str(server.id)
              )

              # Проверяем, что workflow прошел через нужные состояния
              workflow_engine = WorkflowEngine.from_context(execution_context)
              current_state = workflow_engine.get_current_state()

              # Workflow должен быть в финальном состоянии (COMPLETED или FAILED)
              assert current_state in [
                  WorkflowState.COMPLETED,
                  WorkflowState.FAILED,
                  WorkflowState.CANCELLED
              ], f""Unexpected workflow state: {current_state}""

              # Проверяем историю переходов
              history = workflow_engine.get_transition_history()
              assert len(history) > 0, ""Workflow should have transition history""

              # Первое состояние должно быть INITIALIZED
              assert history[0].from_state is None or history[0].from_state == WorkflowState.INITIALIZED

          except Exception as e:
              pytest.skip(f""Test requires working LLM: {e}"")
E       fixture 'real_model_and_server' not found
>       available fixtures: anyio_backend, anyio_backend_name, anyio_backend_options, cache, capfd, capfdbinary, caplog, capsys, capsysbinary, client, db, doctest_namespace, ensure_service_registry_initialized, event_loop, execution_context, monkeypatch, plan_id, pytestconfig, record_property, record_testsuite_property, record_xml_attribute, recwarn, tmp_path, tmp_path_factory, tmpdir, tmpdir_factory, unused_tcp_port, unused_tcp_port_factory, unused_udp_port, unused_udp_port_factory, workflow_engine
>       use 'pytest --fixtures [testpath]' for help on them.

C:\work\AARD\backend\tests\integration\test_phase4_integration.py:139""",0.002
backend\tests\cli\test_migrations_cli.py,,summary,SystemExit: 0,1
backend\tests\integration\test_api.py,,summary,,10
backend\tests\test_planning_with_teams.py,,summary,AttributeError: 'PlanningService' object has no attribute 'create_plan'. Did you mean: 'generate_plan'?,103
backend\tests\test_request_orchestrator.py,,summary,AttributeError: 'RequestOrchestrator' object has no attribute 'workflow_tracker',104
backend\tests\test_service_registry.py,,summary,AttributeError: 'ExecutionContext' object has no attribute 'bind',105
backend\tests\integration\test_auto_approval_transition.py,,summary,,11
backend\tests\integration\test_auto_replan_trigger.py,,summary,,12
backend\tests\integration\test_auto_replanning.py,,summary,,13
backend\tests\integration\test_benchmark_models.py,,summary,,14
backend\tests\integration\test_chat_with_planning.py,,summary,,15
backend\tests\integration\test_code_sandbox.py,,summary,,17
backend\tests\integration\test_dashboard_api.py,,summary,assert 0 >= 1,18
backend\tests\integration\test_execution_engine.py,,summary,,19
backend\tests\docs\test_service_docs_present.py,,summary,"AssertionError: Missing service docs: ['ApplicationCore.md', 'HTTPAPILayer.md', 'DataORMLayer.md', 'BusinessServices.md', 'AgentsAndPlanning.md', 'DecisionComponents.md', 'ToolsExternalIntegrations.md', 'RegistryServiceDiscovery.md', 'SecurityAuthPermissions.md', 'MemoryConversationStorage.md', 'OpsMigrations.md', 'UtilitiesObservability.md']
assert not ['ApplicationCore.md', 'HTTPAPILayer.md', 'DataORMLayer.md', 'BusinessServices.md', 'AgentsAndPlanning.md', 'DecisionComponents.md', ...]",2
backend\tests\integration\test_feedback_learning.py,,summary,,20
backend\tests\integration\test_full_system_e2e.py,,summary,,22
backend\tests\integration\test_function_calling.py,,summary,,23
backend\tests\integration\test_instance_selection.py,,summary,,24
backend\tests\integration\test_interactive_execution.py,,summary,,25
backend\tests\integration\test_logging_api.py,,summary,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/logging/levels (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001ACA4072F30>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",26
backend\tests\integration\test_logging_system.py,,summary,,27
backend\tests\integration\test_migration.py,,summary,,28
backend\tests\integration\test_model_benchmark_real.py,,summary,,29
backend\tests\integration\test_agent_dialogs_real_llm.py,,summary,,3
backend\tests\integration\test_model_generation.py,,summary,,30
backend\tests\integration\test_model_selector.py,,summary,,31
backend\tests\integration\test_new_components.py,,summary,,32
backend\tests\integration\test_new_features.py,,summary,,33
backend\tests\integration\test_ollama_connection.py,,summary,,34
backend\tests\integration\test_ollama_integration.py,,summary,,35
backend\tests\integration\test_orchestrator_integration.py,,summary,,36
backend\tests\integration\test_phase3_full_integration.py,,summary,,37
backend\tests\integration\test_agent_teams.py,,summary,,5
backend\tests\integration\test_phase6_api_consistency.py,,summary,,53
backend\tests\integration\test_phase6_consistency.py,,summary,,54
backend\tests\integration\test_plan_approval_integration.py,,summary,,55
backend\tests\integration\test_plan_memory_integration.py,,summary,,56
backend\tests\integration\test_planning_api_simple.py,,summary,"failed on setup with ""file C:\work\AARD\backend\tests\integration\test_planning_api_simple.py, line 70
  def test_get_plan(plan_id: str):
E       fixture 'plan_id' not found
>       available fixtures: anyio_backend, anyio_backend_name, anyio_backend_options, cache, capfd, capfdbinary, caplog, capsys, capsysbinary, client, db, doctest_namespace, ensure_service_registry_initialized, event_loop, monkeypatch, pytestconfig, record_property, record_testsuite_property, record_xml_attribute, recwarn, tmp_path, tmp_path_factory, tmpdir, tmpdir_factory, unused_tcp_port, unused_tcp_port_factory, unused_udp_port, unused_udp_port_factory
>       use 'pytest --fixtures [testpath]' for help on them.

C:\work\AARD\backend\tests\integration\test_planning_api_simple.py:70""",58
backend\tests\integration\test_agent_teams_consistency.py,,summary,,6
backend\tests\integration\test_planning_metrics.py,,summary,,64
backend\tests\integration\test_planning_with_dialogs.py,,summary,,66
backend\tests\integration\test_planning_with_dialogs_real_llm.py,,summary,,67
backend\tests\integration\test_project_metrics_integration.py,,summary,,69
backend\tests\integration\test_agent_teams_llm.py,,summary,,7
backend\tests\integration\test_prompt_ab_testing.py,,summary,NameError: name 'AsyncMock' is not defined,70
backend\tests\integration\test_prompt_auto_improvement.py,,summary,NameError: name 'PromptUsage' is not defined,71
backend\tests\integration\test_prompt_create.py,,summary,,72
backend\tests\integration\test_prompt_manager_integration.py,,summary,,74
backend\tests\integration\test_real_llm_full_workflow.py,,summary,,76
backend\tests\integration\test_real_modules_interaction.py,,summary,,77
backend\tests\integration\test_task_lifecycle.py,,summary,,78
backend\tests\integration\test_tracing.py,,summary,,79
backend\tests\integration\test_agent_teams_real_llm.py,,summary,,8
backend\tests\integration\test_vector_search.py,,summary,,80
backend\tests\integration\test_vector_search_complete.py,,summary,,81
backend\tests\planning\test_plan_lifecycle.py,,summary,,87
backend\tests\quick_test.py,,summary,"failed on setup with ""file C:\work\AARD\backend\tests\integration\test_workflow_engine.py, line 48
      def test_initialization(self, workflow_engine, execution_context):
E       fixture 'workflow_engine' not found
>       available fixtures: anyio_backend, anyio_backend_name, anyio_backend_options, cache, capfd, capfdbinary, caplog, capsys, capsysbinary, client, db, doctest_namespace, ensure_service_registry_initialized, event_loop, monkeypatch, pytestconfig, record_property, record_testsuite_property, record_xml_attribute, recwarn, tmp_path, tmp_path_factory, tmpdir, tmpdir_factory, unused_tcp_port, unused_tcp_port_factory, unused_udp_port, unused_udp_port_factory
>       use 'pytest --fixtures [testpath]' for help on them.

C:\work\AARD\backend\tests\integration\test_workflow_engine.py:48""",88
backend\tests\integration\test_alternative_plans.py,,summary,,9
backend\tests\scripts\test_branching.py,,summary,,91
backend\tests\scripts\test_branching_endpoints.py,,summary,,92
backend\tests\scripts\test_planning_step_by_step.py,,summary,,93
backend\tests\scripts\test_real_integration_chat.py,,summary,,94
backend\tests\scripts\test_real_integration_planning.py,,summary,,95
backend\tests\scripts\test_websocket_integration.py,,summary,,96
backend\tests\scripts\test_websocket_simple.py,,summary,,97
backend\tests\scripts\test_workflow_events.py,,summary,,98
backend\tests\scripts\test_workflow_events_detailed.py,,summary,,99
